Region,Year,Crop,Area planted (ha),Production,Yield
LOUGA,2019,Peanut,102759,61272,1.925
LOUGA,2019,Cowpea,161292,95377,1.936
LOUGA,2016,Cassava,2618,23566,9.9
LOUGA,2017,Cassava,3129,30713,10.7965
LOUGA,2018,Cassava,4907,48458,10.8614
LOUGA,2017,Watermelon,4456,46024,11.3608
LOUGA,2016,Watermelon,4051,41840,11.55
LOUGA,2018,Watermelon,10886,129953,13.1318
LOUGA,2019,Cassava,5357,76530,36.3
LOUGA,2019,Watermelon,14750,157050,39.6
LOUGA,2016,Sesame,0,0,0
LOUGA,2017,Sesame,0,0,0
LOUGA,2018,Sesame,,,0
LOUGA,2016,Fonio,0,0,0
LOUGA,2017,Fonio,0,0,0
LOUGA,2018,Fonio,,,0
MATAM,2019,Rice,0,0,0
MATAM,2019,Fonio,0,0,0
MATAM,2017,Cowpea,1050,2098,0.4191
MATAM,2016,Cowpea,609,244,0.451
MATAM,2017,Peanut,1667,685,0.4521
MATAM,2019,Sesame,35,17,0.5225
MATAM,2018,Cowpea,8138,3994,0.5401
MATAM,2018,Millet,33312,17808,0.5885
MATAM,2018,Peanut,6819,3794,0.6116
MATAM,2016,Peanut,1647,1647,0.6391
MATAM,2016,Sorghum,6244,3844,0.6776
MATAM,2017,Sorghum,6868,4228,0.6776
MATAM,2017,Millet,34042,21066,0.6809
MATAM,2018,Sorghum,17122,11689,0.7513
MATAM,2016,Millet,34264,31230,1.0021
MATAM,2019,Millet,22122,9136,1.32
MATAM,2017,Maize,1976,2407,1.3398
MATAM,2016,Maize,1797,810,1.3519
MATAM,2019,Peanut,1996,976,1.43
MATAM,2019,Cowpea,9280,4980,1.5675
MATAM,2018,Maize,3421,6714,2.1582
MATAM,2019,Sorghum,20247,13180,2.1692
MATAM,2019,Maize,2656,1694,2.2
MATAM,2016,Watermelon,726,2179,3.3
MATAM,2017,Watermelon,799,2396,3.3
MATAM,2018,Watermelon,1888,5665,3.3
MATAM,2018,Rice,8707,52465,6.6286
MATAM,2017,Rice,9166,60871,7.3051
MATAM,2016,Rice,6128,42896,7.7
MATAM,2019,Watermelon,2118,28365,44.4268
MATAM,2019,Cassava,251,5275,60.5
MATAM,2016,Cassava,0,0,0
MATAM,2017,Cassava,0,0,0
MATAM,2018,Cassava,,,0
MATAM,2016,Sesame,0,0,0
MATAM,2017,Sesame,0,0,0
MATAM,2018,Sesame,,,0
MATAM,2016,Fonio,0,0,0
MATAM,2017,Fonio,0,0,0
MATAM,2018,Fonio,,,0
SAINT-LOUIS,2019,Sesame,0,0,0
SAINT-LOUIS,2019,Millet,2432,338,0.2695
SAINT-LOUIS,2016,Millet,8166,2129,0.2871
SAINT-LOUIS,2017,Millet,8240,2191,0.2926
SAINT-LOUIS,2018,Millet,743,206,0.3047
SAINT-LOUIS,2017,Cowpea,6164,912,0.374
SAINT-LOUIS,2016,Sorghum,2556,880,0.3784
SAINT-LOUIS,2017,Sorghum,2811,968,0.3784
SAINT-LOUIS,2018,Sorghum,1555,595,0.4213
SAINT-LOUIS,2017,Peanut,12318,5267,0.4708
SAINT-LOUIS,2018,Cowpea,4065,1858,0.5027
SAINT-LOUIS,2018,Peanut,17757,8258,0.5115
SAINT-LOUIS,2016,Peanut,12172,12172,0.528
SAINT-LOUIS,2016,Cowpea,5604,3177,0.671
SAINT-LOUIS,2019,Peanut,12601,4095,0.715
